=== Training Loss Log ===
Epoch [7/30], Step [200/1896], Loss: 0.0016
Epoch [7/30], Step [300/1896], Loss: 0.0016
Epoch [7/30], Step [400/1896], Loss: 0.0016
Epoch [7/30], Step [500/1896], Loss: 0.0016
Epoch [7/30], Step [600/1896], Loss: 0.0016
Epoch [7/30], Step [700/1896], Loss: 0.0015
Epoch [7/30], Step [800/1896], Loss: 0.0015
Epoch [7/30], Step [900/1896], Loss: 0.0015
Epoch [7/30], Step [1000/1896], Loss: 0.0015
Epoch [7/30], Step [1100/1896], Loss: 0.0015
Epoch [7/30], Step [1200/1896], Loss: 0.0015
Epoch [7/30], Step [1300/1896], Loss: 0.0015
Epoch [7/30], Step [1400/1896], Loss: 0.0015
Epoch [7/30], Step [1500/1896], Loss: 0.0015
Epoch [7/30], Step [1600/1896], Loss: 0.0015
Epoch [7/30], Step [1700/1896], Loss: 0.0014
Epoch [7/30], Step [1800/1896], Loss: 0.0014
✅ Epoch [7/30] 완료 - Average Loss: 0.001524

Epoch [8/30], Step [100/1896], Loss: 0.0014
Epoch [8/30], Step [200/1896], Loss: 0.0014
Epoch [8/30], Step [300/1896], Loss: 0.0014
Epoch [8/30], Step [400/1896], Loss: 0.0014
Epoch [8/30], Step [500/1896], Loss: 0.0014
Epoch [8/30], Step [600/1896], Loss: 0.0013
Epoch [8/30], Step [700/1896], Loss: 0.0013
Epoch [8/30], Step [800/1896], Loss: 0.0013
Epoch [8/30], Step [900/1896], Loss: 0.0013
Epoch [8/30], Step [1000/1896], Loss: 0.0013
Epoch [8/30], Step [1100/1896], Loss: 0.0013
Epoch [8/30], Step [1200/1896], Loss: 0.0013
Epoch [8/30], Step [1300/1896], Loss: 0.0013
Epoch [8/30], Step [1400/1896], Loss: 0.0013
Epoch [8/30], Step [1500/1896], Loss: 0.0013
Epoch [8/30], Step [1600/1896], Loss: 0.0013
Epoch [8/30], Step [1700/1896], Loss: 0.0012
Epoch [8/30], Step [1800/1896], Loss: 0.0012
✅ Epoch [8/30] 완료 - Average Loss: 0.001312

Epoch [9/30], Step [100/1896], Loss: 0.0012
Epoch [9/30], Step [200/1896], Loss: 0.0012
Epoch [9/30], Step [300/1896], Loss: 0.0012
Epoch [9/30], Step [400/1896], Loss: 0.0012
Epoch [9/30], Step [500/1896], Loss: 0.0012
Epoch [9/30], Step [600/1896], Loss: 0.0012
Epoch [9/30], Step [700/1896], Loss: 0.0012
Epoch [9/30], Step [800/1896], Loss: 0.0011
Epoch [9/30], Step [900/1896], Loss: 0.0011
Epoch [9/30], Step [1000/1896], Loss: 0.0011
Epoch [9/30], Step [1100/1896], Loss: 0.0011
Epoch [9/30], Step [1200/1896], Loss: 0.0011
Epoch [9/30], Step [1300/1896], Loss: 0.0011
Epoch [9/30], Step [1400/1896], Loss: 0.0011
Epoch [9/30], Step [1500/1896], Loss: 0.0011
Epoch [9/30], Step [1600/1896], Loss: 0.0010
Epoch [9/30], Step [1700/1896], Loss: 0.0010
Epoch [9/30], Step [1800/1896], Loss: 0.0010
✅ Epoch [9/30] 완료 - Average Loss: 0.001128

Epoch [10/30], Step [100/1896], Loss: 0.0010
Epoch [10/30], Step [200/1896], Loss: 0.0010
Epoch [10/30], Step [300/1896], Loss: 0.0010
Epoch [10/30], Step [400/1896], Loss: 0.0010
Epoch [10/30], Step [500/1896], Loss: 0.0010
Epoch [10/30], Step [600/1896], Loss: 0.0010
Epoch [10/30], Step [700/1896], Loss: 0.0010
Epoch [10/30], Step [800/1896], Loss: 0.0010
Epoch [10/30], Step [900/1896], Loss: 0.0009
Epoch [10/30], Step [1000/1896], Loss: 0.0010
Epoch [10/30], Step [1100/1896], Loss: 0.0009
Epoch [10/30], Step [1200/1896], Loss: 0.0009
Epoch [10/30], Step [1300/1896], Loss: 0.0009
Epoch [10/30], Step [1400/1896], Loss: 0.0009
Epoch [10/30], Step [1500/1896], Loss: 0.0009
Epoch [10/30], Step [1600/1896], Loss: 0.0009
Epoch [10/30], Step [1700/1896], Loss: 0.0009
Epoch [10/30], Step [1800/1896], Loss: 0.0008
✅ Epoch [10/30] 완료 - Average Loss: 0.000945

Epoch [11/30], Step [100/1896], Loss: 0.0008
Epoch [11/30], Step [200/1896], Loss: 0.0009
Epoch [11/30], Step [300/1896], Loss: 0.0008
Epoch [11/30], Step [400/1896], Loss: 0.0008
Epoch [11/30], Step [500/1896], Loss: 0.0008
Epoch [11/30], Step [600/1896], Loss: 0.0008
Epoch [11/30], Step [700/1896], Loss: 0.0008
Epoch [11/30], Step [800/1896], Loss: 0.0008
Epoch [11/30], Step [900/1896], Loss: 0.0008
Epoch [11/30], Step [1000/1896], Loss: 0.0007
Epoch [11/30], Step [1100/1896], Loss: 0.0008
Epoch [11/30], Step [1200/1896], Loss: 0.0008
Epoch [11/30], Step [1300/1896], Loss: 0.0007
Epoch [11/30], Step [1400/1896], Loss: 0.0007
Epoch [11/30], Step [1500/1896], Loss: 0.0007
Epoch [11/30], Step [1600/1896], Loss: 0.0007
Epoch [11/30], Step [1700/1896], Loss: 0.0007
Epoch [11/30], Step [1800/1896], Loss: 0.0007
✅ Epoch [11/30] 완료 - Average Loss: 0.000778

Epoch [12/30], Step [100/1896], Loss: 0.0007
Epoch [12/30], Step [200/1896], Loss: 0.0007
Epoch [12/30], Step [300/1896], Loss: 0.0007
Epoch [12/30], Step [400/1896], Loss: 0.0007
Epoch [12/30], Step [500/1896], Loss: 0.0007
Epoch [12/30], Step [600/1896], Loss: 0.0006
Epoch [12/30], Step [700/1896], Loss: 0.0007
Epoch [12/30], Step [800/1896], Loss: 0.0006
Epoch [12/30], Step [900/1896], Loss: 0.0006
Epoch [12/30], Step [1000/1896], Loss: 0.0006
Epoch [12/30], Step [1100/1896], Loss: 0.0006
Epoch [12/30], Step [1200/1896], Loss: 0.0006
Epoch [12/30], Step [1300/1896], Loss: 0.0006
Epoch [12/30], Step [1400/1896], Loss: 0.0006
Epoch [12/30], Step [1500/1896], Loss: 0.0006
Epoch [12/30], Step [1600/1896], Loss: 0.0006
Epoch [12/30], Step [1700/1896], Loss: 0.0006
Epoch [12/30], Step [1800/1896], Loss: 0.0006
✅ Epoch [12/30] 완료 - Average Loss: 0.000642

Epoch [13/30], Step [100/1896], Loss: 0.0006
Epoch [13/30], Step [200/1896], Loss: 0.0006
Epoch [13/30], Step [300/1896], Loss: 0.0006
Epoch [13/30], Step [400/1896], Loss: 0.0006
Epoch [13/30], Step [500/1896], Loss: 0.0005
Epoch [13/30], Step [600/1896], Loss: 0.0005
Epoch [13/30], Step [700/1896], Loss: 0.0005
Epoch [13/30], Step [800/1896], Loss: 0.0005
Epoch [13/30], Step [900/1896], Loss: 0.0005
Epoch [13/30], Step [1000/1896], Loss: 0.0005
Epoch [13/30], Step [1100/1896], Loss: 0.0005
Epoch [13/30], Step [1200/1896], Loss: 0.0005
Epoch [13/30], Step [1300/1896], Loss: 0.0005
Epoch [13/30], Step [1400/1896], Loss: 0.0005
Epoch [13/30], Step [1500/1896], Loss: 0.0005
